Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Glazing_Area,Glazing_Area_Distribution,Orientation_3,Orientation_4,Orientation_5
0.98,514.5,294.0,110.25,7.0,0.0,0,0,0,0
0.98,514.5,294.0,110.25,7.0,0.0,0,1,0,0
0.98,514.5,294.0,110.25,7.0,0.0,0,0,1,0
0.98,514.5,294.0,110.25,7.0,0.0,0,0,0,1
0.9,563.5,318.5,122.5,7.0,0.0,0,0,0,0
0.9,563.5,318.5,122.5,7.0,0.0,0,1,0,0
0.9,563.5,318.5,122.5,7.0,0.0,0,0,1,0
0.9,563.5,318.5,122.5,7.0,0.0,0,0,0,1
0.86,588.0,294.0,147.0,7.0,0.0,0,0,0,0
0.86,588.0,294.0,147.0,7.0,0.0,0,1,0,0
0.86,588.0,294.0,147.0,7.0,0.0,0,0,1,0
0.86,588.0,294.0,147.0,7.0,0.0,0,0,0,1
0.82,612.5,318.5,147.0,7.0,0.0,0,0,0,0
0.82,612.5,318.5,147.0,7.0,0.0,0,1,0,0
0.82,612.5,318.5,147.0,7.0,0.0,0,0,1,0
0.82,612.5,318.5,147.0,7.0,0.0,0,0,0,1
0.79,637.0,343.0,147.0,7.0,0.0,0,0,0,0
0.79,637.0,343.0,147.0,7.0,0.0,0,1,0,0
0.79,637.0,343.0,147.0,7.0,0.0,0,0,1,0
0.79,637.0,343.0,147.0,7.0,0.0,0,0,0,1
0.76,661.5,416.5,122.5,7.0,0.0,0,0,0,0
0.76,661.5,416.5,122.5,7.0,0.0,0,1,0,0
0.76,661.5,416.5,122.5,7.0,0.0,0,0,1,0
0.76,661.5,416.5,122.5,7.0,0.0,0,0,0,1
0.74,686.0,245.0,220.5,3.5,0.0,0,0,0,0
0.74,686.0,245.0,220.5,3.5,0.0,0,1,0,0
0.74,686.0,245.0,220.5,3.5,0.0,0,0,1,0
0.74,686.0,245.0,220.5,3.5,0.0,0,0,0,1
0.71,710.5,269.5,220.5,3.5,0.0,0,0,0,0
0.71,710.5,269.5,220.5,3.5,0.0,0,1,0,0
0.71,710.5,269.5,220.5,3.5,0.0,0,0,1,0
0.71,710.5,269.5,220.5,3.5,0.0,0,0,0,1
0.69,735.0,294.0,220.5,3.5,0.0,0,0,0,0
0.69,735.0,294.0,220.5,3.5,0.0,0,1,0,0
0.69,735.0,294.0,220.5,3.5,0.0,0,0,1,0
0.69,735.0,294.0,220.5,3.5,0.0,0,0,0,1
0.66,759.5,318.5,220.5,3.5,0.0,0,0,0,0
0.66,759.5,318.5,220.5,3.5,0.0,0,1,0,0
0.66,759.5,318.5,220.5,3.5,0.0,0,0,1,0
0.66,759.5,318.5,220.5,3.5,0.0,0,0,0,1
0.64,784.0,343.0,220.5,3.5,0.0,0,0,0,0
0.64,784.0,343.0,220.5,3.5,0.0,0,1,0,0
0.64,784.0,343.0,220.5,3.5,0.0,0,0,1,0
0.64,784.0,343.0,220.5,3.5,0.0,0,0,0,1
0.62,808.5,367.5,220.5,3.5,0.0,0,0,0,0
0.62,808.5,367.5,220.5,3.5,0.0,0,1,0,0
0.62,808.5,367.5,220.5,3.5,0.0,0,0,1,0
0.62,808.5,367.5,220.5,3.5,0.0,0,0,0,1
0.98,514.5,294.0,110.25,7.0,0.1,1,0,0,0
0.98,514.5,294.0,110.25,7.0,0.1,1,1,0,0
0.98,514.5,294.0,110.25,7.0,0.1,1,0,1,0
0.98,514.5,294.0,110.25,7.0,0.1,1,0,0,1
0.9,563.5,318.5,122.5,7.0,0.1,1,0,0,0
0.9,563.5,318.5,122.5,7.0,0.1,1,1,0,0
0.9,563.5,318.5,122.5,7.0,0.1,1,0,1,0
0.9,563.5,318.5,122.5,7.0,0.1,1,0,0,1
0.86,588.0,294.0,147.0,7.0,0.1,1,0,0,0
0.86,588.0,294.0,147.0,7.0,0.1,1,1,0,0
0.86,588.0,294.0,147.0,7.0,0.1,1,0,1,0
0.86,588.0,294.0,147.0,7.0,0.1,1,0,0,1
0.82,612.5,318.5,147.0,7.0,0.1,1,0,0,0
0.82,612.5,318.5,147.0,7.0,0.1,1,1,0,0
0.82,612.5,318.5,147.0,7.0,0.1,1,0,1,0
0.82,612.5,318.5,147.0,7.0,0.1,1,0,0,1
0.79,637.0,343.0,147.0,7.0,0.1,1,0,0,0
0.79,637.0,343.0,147.0,7.0,0.1,1,1,0,0
0.79,637.0,343.0,147.0,7.0,0.1,1,0,1,0
0.79,637.0,343.0,147.0,7.0,0.1,1,0,0,1
0.76,661.5,416.5,122.5,7.0,0.1,1,0,0,0
0.76,661.5,416.5,122.5,7.0,0.1,1,1,0,0
0.76,661.5,416.5,122.5,7.0,0.1,1,0,1,0
0.76,661.5,416.5,122.5,7.0,0.1,1,0,0,1
0.74,686.0,245.0,220.5,3.5,0.1,1,0,0,0
0.74,686.0,245.0,220.5,3.5,0.1,1,1,0,0
0.74,686.0,245.0,220.5,3.5,0.1,1,0,1,0
0.74,686.0,245.0,220.5,3.5,0.1,1,0,0,1
0.71,710.5,269.5,220.5,3.5,0.1,1,0,0,0
0.71,710.5,269.5,220.5,3.5,0.1,1,1,0,0
0.71,710.5,269.5,220.5,3.5,0.1,1,0,1,0
0.71,710.5,269.5,220.5,3.5,0.1,1,0,0,1
0.69,735.0,294.0,220.5,3.5,0.1,1,0,0,0
0.69,735.0,294.0,220.5,3.5,0.1,1,1,0,0
0.69,735.0,294.0,220.5,3.5,0.1,1,0,1,0
0.69,735.0,294.0,220.5,3.5,0.1,1,0,0,1
0.66,759.5,318.5,220.5,3.5,0.1,1,0,0,0
0.66,759.5,318.5,220.5,3.5,0.1,1,1,0,0
0.66,759.5,318.5,220.5,3.5,0.1,1,0,1,0
0.66,759.5,318.5,220.5,3.5,0.1,1,0,0,1
0.64,784.0,343.0,220.5,3.5,0.1,1,0,0,0
0.64,784.0,343.0,220.5,3.5,0.1,1,1,0,0
0.64,784.0,343.0,220.5,3.5,0.1,1,0,1,0
0.64,784.0,343.0,220.5,3.5,0.1,1,0,0,1
0.62,808.5,367.5,220.5,3.5,0.1,1,0,0,0
0.62,808.5,367.5,220.5,3.5,0.1,1,1,0,0
0.62,808.5,367.5,220.5,3.5,0.1,1,0,1,0
0.62,808.5,367.5,220.5,3.5,0.1,1,0,0,1
0.98,514.5,294.0,110.25,7.0,0.1,2,0,0,0
0.98,514.5,294.0,110.25,7.0,0.1,2,1,0,0
0.98,514.5,294.0,110.25,7.0,0.1,2,0,1,0
0.98,514.5,294.0,110.25,7.0,0.1,2,0,0,1
0.9,563.5,318.5,122.5,7.0,0.1,2,0,0,0
0.9,563.5,318.5,122.5,7.0,0.1,2,1,0,0
0.9,563.5,318.5,122.5,7.0,0.1,2,0,1,0
0.9,563.5,318.5,122.5,7.0,0.1,2,0,0,1
0.86,588.0,294.0,147.0,7.0,0.1,2,0,0,0
0.86,588.0,294.0,147.0,7.0,0.1,2,1,0,0
0.86,588.0,294.0,147.0,7.0,0.1,2,0,1,0
0.86,588.0,294.0,147.0,7.0,0.1,2,0,0,1
0.82,612.5,318.5,147.0,7.0,0.1,2,0,0,0
0.82,612.5,318.5,147.0,7.0,0.1,2,1,0,0
0.82,612.5,318.5,147.0,7.0,0.1,2,0,1,0
0.82,612.5,318.5,147.0,7.0,0.1,2,0,0,1
0.79,637.0,343.0,147.0,7.0,0.1,2,0,0,0
0.79,637.0,343.0,147.0,7.0,0.1,2,1,0,0
0.79,637.0,343.0,147.0,7.0,0.1,2,0,1,0
0.79,637.0,343.0,147.0,7.0,0.1,2,0,0,1
0.76,661.5,416.5,122.5,7.0,0.1,2,0,0,0
0.76,661.5,416.5,122.5,7.0,0.1,2,1,0,0
0.76,661.5,416.5,122.5,7.0,0.1,2,0,1,0
0.76,661.5,416.5,122.5,7.0,0.1,2,0,0,1
0.74,686.0,245.0,220.5,3.5,0.1,2,0,0,0
0.74,686.0,245.0,220.5,3.5,0.1,2,1,0,0
0.74,686.0,245.0,220.5,3.5,0.1,2,0,1,0
0.74,686.0,245.0,220.5,3.5,0.1,2,0,0,1
0.71,710.5,269.5,220.5,3.5,0.1,2,0,0,0
0.71,710.5,269.5,220.5,3.5,0.1,2,1,0,0
0.71,710.5,269.5,220.5,3.5,0.1,2,0,1,0
0.71,710.5,269.5,220.5,3.5,0.1,2,0,0,1
0.69,735.0,294.0,220.5,3.5,0.1,2,0,0,0
0.69,735.0,294.0,220.5,3.5,0.1,2,1,0,0
0.69,735.0,294.0,220.5,3.5,0.1,2,0,1,0
0.69,735.0,294.0,220.5,3.5,0.1,2,0,0,1
0.66,759.5,318.5,220.5,3.5,0.1,2,0,0,0
0.66,759.5,318.5,220.5,3.5,0.1,2,1,0,0
0.66,759.5,318.5,220.5,3.5,0.1,2,0,1,0
0.66,759.5,318.5,220.5,3.5,0.1,2,0,0,1
0.64,784.0,343.0,220.5,3.5,0.1,2,0,0,0
0.64,784.0,343.0,220.5,3.5,0.1,2,1,0,0
0.64,784.0,343.0,220.5,3.5,0.1,2,0,1,0
0.64,784.0,343.0,220.5,3.5,0.1,2,0,0,1
0.62,808.5,367.5,220.5,3.5,0.1,2,0,0,0
0.62,808.5,367.5,220.5,3.5,0.1,2,1,0,0
0.62,808.5,367.5,220.5,3.5,0.1,2,0,1,0
0.62,808.5,367.5,220.5,3.5,0.1,2,0,0,1
0.98,514.5,294.0,110.25,7.0,0.1,3,0,0,0
0.98,514.5,294.0,110.25,7.0,0.1,3,1,0,0
0.98,514.5,294.0,110.25,7.0,0.1,3,0,1,0
0.98,514.5,294.0,110.25,7.0,0.1,3,0,0,1
0.9,563.5,318.5,122.5,7.0,0.1,3,0,0,0
0.9,563.5,318.5,122.5,7.0,0.1,3,1,0,0
0.9,563.5,318.5,122.5,7.0,0.1,3,0,1,0
0.9,563.5,318.5,122.5,7.0,0.1,3,0,0,1
0.86,588.0,294.0,147.0,7.0,0.1,3,0,0,0
0.86,588.0,294.0,147.0,7.0,0.1,3,1,0,0
0.86,588.0,294.0,147.0,7.0,0.1,3,0,1,0
0.86,588.0,294.0,147.0,7.0,0.1,3,0,0,1
0.82,612.5,318.5,147.0,7.0,0.1,3,0,0,0
0.82,612.5,318.5,147.0,7.0,0.1,3,1,0,0
0.82,612.5,318.5,147.0,7.0,0.1,3,0,1,0
0.82,612.5,318.5,147.0,7.0,0.1,3,0,0,1
0.79,637.0,343.0,147.0,7.0,0.1,3,0,0,0
0.79,637.0,343.0,147.0,7.0,0.1,3,1,0,0
0.79,637.0,343.0,147.0,7.0,0.1,3,0,1,0
0.79,637.0,343.0,147.0,7.0,0.1,3,0,0,1
0.76,661.5,416.5,122.5,7.0,0.1,3,0,0,0
0.76,661.5,416.5,122.5,7.0,0.1,3,1,0,0
0.76,661.5,416.5,122.5,7.0,0.1,3,0,1,0
0.76,661.5,416.5,122.5,7.0,0.1,3,0,0,1
0.74,686.0,245.0,220.5,3.5,0.1,3,0,0,0
0.74,686.0,245.0,220.5,3.5,0.1,3,1,0,0
0.74,686.0,245.0,220.5,3.5,0.1,3,0,1,0
0.74,686.0,245.0,220.5,3.5,0.1,3,0,0,1
0.71,710.5,269.5,220.5,3.5,0.1,3,0,0,0
0.71,710.5,269.5,220.5,3.5,0.1,3,1,0,0
0.71,710.5,269.5,220.5,3.5,0.1,3,0,1,0
0.71,710.5,269.5,220.5,3.5,0.1,3,0,0,1
0.69,735.0,294.0,220.5,3.5,0.1,3,0,0,0
0.69,735.0,294.0,220.5,3.5,0.1,3,1,0,0
0.69,735.0,294.0,220.5,3.5,0.1,3,0,1,0
0.69,735.0,294.0,220.5,3.5,0.1,3,0,0,1
0.66,759.5,318.5,220.5,3.5,0.1,3,0,0,0
0.66,759.5,318.5,220.5,3.5,0.1,3,1,0,0
0.66,759.5,318.5,220.5,3.5,0.1,3,0,1,0
0.66,759.5,318.5,220.5,3.5,0.1,3,0,0,1
0.64,784.0,343.0,220.5,3.5,0.1,3,0,0,0
0.64,784.0,343.0,220.5,3.5,0.1,3,1,0,0
0.64,784.0,343.0,220.5,3.5,0.1,3,0,1,0
0.64,784.0,343.0,220.5,3.5,0.1,3,0,0,1
0.62,808.5,367.5,220.5,3.5,0.1,3,0,0,0
0.62,808.5,367.5,220.5,3.5,0.1,3,1,0,0
0.62,808.5,367.5,220.5,3.5,0.1,3,0,1,0
0.62,808.5,367.5,220.5,3.5,0.1,3,0,0,1
0.98,514.5,294.0,110.25,7.0,0.1,4,0,0,0
0.98,514.5,294.0,110.25,7.0,0.1,4,1,0,0
0.98,514.5,294.0,110.25,7.0,0.1,4,0,1,0
0.98,514.5,294.0,110.25,7.0,0.1,4,0,0,1
0.9,563.5,318.5,122.5,7.0,0.1,4,0,0,0
0.9,563.5,318.5,122.5,7.0,0.1,4,1,0,0
0.9,563.5,318.5,122.5,7.0,0.1,4,0,1,0
0.9,563.5,318.5,122.5,7.0,0.1,4,0,0,1
0.86,588.0,294.0,147.0,7.0,0.1,4,0,0,0
0.86,588.0,294.0,147.0,7.0,0.1,4,1,0,0
0.86,588.0,294.0,147.0,7.0,0.1,4,0,1,0
0.86,588.0,294.0,147.0,7.0,0.1,4,0,0,1
0.82,612.5,318.5,147.0,7.0,0.1,4,0,0,0
0.82,612.5,318.5,147.0,7.0,0.1,4,1,0,0
0.82,612.5,318.5,147.0,7.0,0.1,4,0,1,0
0.82,612.5,318.5,147.0,7.0,0.1,4,0,0,1
0.79,637.0,343.0,147.0,7.0,0.1,4,0,0,0
0.79,637.0,343.0,147.0,7.0,0.1,4,1,0,0
0.79,637.0,343.0,147.0,7.0,0.1,4,0,1,0
0.79,637.0,343.0,147.0,7.0,0.1,4,0,0,1
0.76,661.5,416.5,122.5,7.0,0.1,4,0,0,0
0.76,661.5,416.5,122.5,7.0,0.1,4,1,0,0
0.76,661.5,416.5,122.5,7.0,0.1,4,0,1,0
0.76,661.5,416.5,122.5,7.0,0.1,4,0,0,1
0.74,686.0,245.0,220.5,3.5,0.1,4,0,0,0
0.74,686.0,245.0,220.5,3.5,0.1,4,1,0,0
0.74,686.0,245.0,220.5,3.5,0.1,4,0,1,0
0.74,686.0,245.0,220.5,3.5,0.1,4,0,0,1
0.71,710.5,269.5,220.5,3.5,0.1,4,0,0,0
0.71,710.5,269.5,220.5,3.5,0.1,4,1,0,0
0.71,710.5,269.5,220.5,3.5,0.1,4,0,1,0
0.71,710.5,269.5,220.5,3.5,0.1,4,0,0,1
0.69,735.0,294.0,220.5,3.5,0.1,4,0,0,0
0.69,735.0,294.0,220.5,3.5,0.1,4,1,0,0
0.69,735.0,294.0,220.5,3.5,0.1,4,0,1,0
0.69,735.0,294.0,220.5,3.5,0.1,4,0,0,1
0.66,759.5,318.5,220.5,3.5,0.1,4,0,0,0
0.66,759.5,318.5,220.5,3.5,0.1,4,1,0,0
0.66,759.5,318.5,220.5,3.5,0.1,4,0,1,0
0.66,759.5,318.5,220.5,3.5,0.1,4,0,0,1
0.64,784.0,343.0,220.5,3.5,0.1,4,0,0,0
0.64,784.0,343.0,220.5,3.5,0.1,4,1,0,0
0.64,784.0,343.0,220.5,3.5,0.1,4,0,1,0
0.64,784.0,343.0,220.5,3.5,0.1,4,0,0,1
0.62,808.5,367.5,220.5,3.5,0.1,4,0,0,0
0.62,808.5,367.5,220.5,3.5,0.1,4,1,0,0
0.62,808.5,367.5,220.5,3.5,0.1,4,0,1,0
0.62,808.5,367.5,220.5,3.5,0.1,4,0,0,1
0.98,514.5,294.0,110.25,7.0,0.1,5,0,0,0
0.98,514.5,294.0,110.25,7.0,0.1,5,1,0,0
0.98,514.5,294.0,110.25,7.0,0.1,5,0,1,0
0.98,514.5,294.0,110.25,7.0,0.1,5,0,0,1
0.9,563.5,318.5,122.5,7.0,0.1,5,0,0,0
0.9,563.5,318.5,122.5,7.0,0.1,5,1,0,0
0.9,563.5,318.5,122.5,7.0,0.1,5,0,1,0
0.9,563.5,318.5,122.5,7.0,0.1,5,0,0,1
0.86,588.0,294.0,147.0,7.0,0.1,5,0,0,0
0.86,588.0,294.0,147.0,7.0,0.1,5,1,0,0
0.86,588.0,294.0,147.0,7.0,0.1,5,0,1,0
0.86,588.0,294.0,147.0,7.0,0.1,5,0,0,1
0.82,612.5,318.5,147.0,7.0,0.1,5,0,0,0
0.82,612.5,318.5,147.0,7.0,0.1,5,1,0,0
0.82,612.5,318.5,147.0,7.0,0.1,5,0,1,0
0.82,612.5,318.5,147.0,7.0,0.1,5,0,0,1
0.79,637.0,343.0,147.0,7.0,0.1,5,0,0,0
0.79,637.0,343.0,147.0,7.0,0.1,5,1,0,0
0.79,637.0,343.0,147.0,7.0,0.1,5,0,1,0
0.79,637.0,343.0,147.0,7.0,0.1,5,0,0,1
0.76,661.5,416.5,122.5,7.0,0.1,5,0,0,0
0.76,661.5,416.5,122.5,7.0,0.1,5,1,0,0
0.76,661.5,416.5,122.5,7.0,0.1,5,0,1,0
0.76,661.5,416.5,122.5,7.0,0.1,5,0,0,1
0.74,686.0,245.0,220.5,3.5,0.1,5,0,0,0
0.74,686.0,245.0,220.5,3.5,0.1,5,1,0,0
0.74,686.0,245.0,220.5,3.5,0.1,5,0,1,0
0.74,686.0,245.0,220.5,3.5,0.1,5,0,0,1
0.71,710.5,269.5,220.5,3.5,0.1,5,0,0,0
0.71,710.5,269.5,220.5,3.5,0.1,5,1,0,0
0.71,710.5,269.5,220.5,3.5,0.1,5,0,1,0
0.71,710.5,269.5,220.5,3.5,0.1,5,0,0,1
0.69,735.0,294.0,220.5,3.5,0.1,5,0,0,0
0.69,735.0,294.0,220.5,3.5,0.1,5,1,0,0
0.69,735.0,294.0,220.5,3.5,0.1,5,0,1,0
0.69,735.0,294.0,220.5,3.5,0.1,5,0,0,1
0.66,759.5,318.5,220.5,3.5,0.1,5,0,0,0
0.66,759.5,318.5,220.5,3.5,0.1,5,1,0,0
0.66,759.5,318.5,220.5,3.5,0.1,5,0,1,0
0.66,759.5,318.5,220.5,3.5,0.1,5,0,0,1
0.64,784.0,343.0,220.5,3.5,0.1,5,0,0,0
0.64,784.0,343.0,220.5,3.5,0.1,5,1,0,0
0.64,784.0,343.0,220.5,3.5,0.1,5,0,1,0
0.64,784.0,343.0,220.5,3.5,0.1,5,0,0,1
0.62,808.5,367.5,220.5,3.5,0.1,5,0,0,0
0.62,808.5,367.5,220.5,3.5,0.1,5,1,0,0
0.62,808.5,367.5,220.5,3.5,0.1,5,0,1,0
0.62,808.5,367.5,220.5,3.5,0.1,5,0,0,1
0.98,514.5,294.0,110.25,7.0,0.25,1,0,0,0
0.98,514.5,294.0,110.25,7.0,0.25,1,1,0,0
0.98,514.5,294.0,110.25,7.0,0.25,1,0,1,0
0.98,514.5,294.0,110.25,7.0,0.25,1,0,0,1
0.9,563.5,318.5,122.5,7.0,0.25,1,0,0,0
0.9,563.5,318.5,122.5,7.0,0.25,1,1,0,0
0.9,563.5,318.5,122.5,7.0,0.25,1,0,1,0
0.9,563.5,318.5,122.5,7.0,0.25,1,0,0,1
0.86,588.0,294.0,147.0,7.0,0.25,1,0,0,0
0.86,588.0,294.0,147.0,7.0,0.25,1,1,0,0
0.86,588.0,294.0,147.0,7.0,0.25,1,0,1,0
0.86,588.0,294.0,147.0,7.0,0.25,1,0,0,1
0.82,612.5,318.5,147.0,7.0,0.25,1,0,0,0
0.82,612.5,318.5,147.0,7.0,0.25,1,1,0,0
0.82,612.5,318.5,147.0,7.0,0.25,1,0,1,0
0.82,612.5,318.5,147.0,7.0,0.25,1,0,0,1
0.79,637.0,343.0,147.0,7.0,0.25,1,0,0,0
0.79,637.0,343.0,147.0,7.0,0.25,1,1,0,0
0.79,637.0,343.0,147.0,7.0,0.25,1,0,1,0
0.79,637.0,343.0,147.0,7.0,0.25,1,0,0,1
0.76,661.5,416.5,122.5,7.0,0.25,1,0,0,0
0.76,661.5,416.5,122.5,7.0,0.25,1,1,0,0
0.76,661.5,416.5,122.5,7.0,0.25,1,0,1,0
0.76,661.5,416.5,122.5,7.0,0.25,1,0,0,1
0.74,686.0,245.0,220.5,3.5,0.25,1,0,0,0
0.74,686.0,245.0,220.5,3.5,0.25,1,1,0,0
0.74,686.0,245.0,220.5,3.5,0.25,1,0,1,0
0.74,686.0,245.0,220.5,3.5,0.25,1,0,0,1
0.71,710.5,269.5,220.5,3.5,0.25,1,0,0,0
0.71,710.5,269.5,220.5,3.5,0.25,1,1,0,0
0.71,710.5,269.5,220.5,3.5,0.25,1,0,1,0
0.71,710.5,269.5,220.5,3.5,0.25,1,0,0,1
0.69,735.0,294.0,220.5,3.5,0.25,1,0,0,0
0.69,735.0,294.0,220.5,3.5,0.25,1,1,0,0
0.69,735.0,294.0,220.5,3.5,0.25,1,0,1,0
0.69,735.0,294.0,220.5,3.5,0.25,1,0,0,1
0.66,759.5,318.5,220.5,3.5,0.25,1,0,0,0
0.66,759.5,318.5,220.5,3.5,0.25,1,1,0,0
0.66,759.5,318.5,220.5,3.5,0.25,1,0,1,0
0.66,759.5,318.5,220.5,3.5,0.25,1,0,0,1
0.64,784.0,343.0,220.5,3.5,0.25,1,0,0,0
0.64,784.0,343.0,220.5,3.5,0.25,1,1,0,0
0.64,784.0,343.0,220.5,3.5,0.25,1,0,1,0
0.64,784.0,343.0,220.5,3.5,0.25,1,0,0,1
0.62,808.5,367.5,220.5,3.5,0.25,1,0,0,0
0.62,808.5,367.5,220.5,3.5,0.25,1,1,0,0
0.62,808.5,367.5,220.5,3.5,0.25,1,0,1,0
0.62,808.5,367.5,220.5,3.5,0.25,1,0,0,1
0.98,514.5,294.0,110.25,7.0,0.25,2,0,0,0
0.98,514.5,294.0,110.25,7.0,0.25,2,1,0,0
0.98,514.5,294.0,110.25,7.0,0.25,2,0,1,0
0.98,514.5,294.0,110.25,7.0,0.25,2,0,0,1
0.9,563.5,318.5,122.5,7.0,0.25,2,0,0,0
0.9,563.5,318.5,122.5,7.0,0.25,2,1,0,0
0.9,563.5,318.5,122.5,7.0,0.25,2,0,1,0
0.9,563.5,318.5,122.5,7.0,0.25,2,0,0,1
0.86,588.0,294.0,147.0,7.0,0.25,2,0,0,0
0.86,588.0,294.0,147.0,7.0,0.25,2,1,0,0
0.86,588.0,294.0,147.0,7.0,0.25,2,0,1,0
0.86,588.0,294.0,147.0,7.0,0.25,2,0,0,1
0.82,612.5,318.5,147.0,7.0,0.25,2,0,0,0
0.82,612.5,318.5,147.0,7.0,0.25,2,1,0,0
0.82,612.5,318.5,147.0,7.0,0.25,2,0,1,0
0.82,612.5,318.5,147.0,7.0,0.25,2,0,0,1
0.79,637.0,343.0,147.0,7.0,0.25,2,0,0,0
0.79,637.0,343.0,147.0,7.0,0.25,2,1,0,0
0.79,637.0,343.0,147.0,7.0,0.25,2,0,1,0
0.79,637.0,343.0,147.0,7.0,0.25,2,0,0,1
0.76,661.5,416.5,122.5,7.0,0.25,2,0,0,0
0.76,661.5,416.5,122.5,7.0,0.25,2,1,0,0
0.76,661.5,416.5,122.5,7.0,0.25,2,0,1,0
0.76,661.5,416.5,122.5,7.0,0.25,2,0,0,1
0.74,686.0,245.0,220.5,3.5,0.25,2,0,0,0
0.74,686.0,245.0,220.5,3.5,0.25,2,1,0,0
0.74,686.0,245.0,220.5,3.5,0.25,2,0,1,0
0.74,686.0,245.0,220.5,3.5,0.25,2,0,0,1
0.71,710.5,269.5,220.5,3.5,0.25,2,0,0,0
0.71,710.5,269.5,220.5,3.5,0.25,2,1,0,0
0.71,710.5,269.5,220.5,3.5,0.25,2,0,1,0
0.71,710.5,269.5,220.5,3.5,0.25,2,0,0,1
0.69,735.0,294.0,220.5,3.5,0.25,2,0,0,0
0.69,735.0,294.0,220.5,3.5,0.25,2,1,0,0
0.69,735.0,294.0,220.5,3.5,0.25,2,0,1,0
0.69,735.0,294.0,220.5,3.5,0.25,2,0,0,1
0.66,759.5,318.5,220.5,3.5,0.25,2,0,0,0
0.66,759.5,318.5,220.5,3.5,0.25,2,1,0,0
0.66,759.5,318.5,220.5,3.5,0.25,2,0,1,0
0.66,759.5,318.5,220.5,3.5,0.25,2,0,0,1
0.64,784.0,343.0,220.5,3.5,0.25,2,0,0,0
0.64,784.0,343.0,220.5,3.5,0.25,2,1,0,0
0.64,784.0,343.0,220.5,3.5,0.25,2,0,1,0
0.64,784.0,343.0,220.5,3.5,0.25,2,0,0,1
0.62,808.5,367.5,220.5,3.5,0.25,2,0,0,0
0.62,808.5,367.5,220.5,3.5,0.25,2,1,0,0
