"price","highway-mpg","city-mpg","peak-rpm","horsepower","compression-ratio","stroke","bore","fuel-system","engine-size","num-of-cylinders","engine-type","curb-weight","height","width","length","wheel-base","engine-location","drive-wheels","body-style","num-of-doors","aspiration","fuel-type","make","normalized-losses"
13495,27,21,5000,111,9,2.68,3.47,6,130,4,1,2548,48.8,64.1,168.8,88.6,1,3,1,2,1,2,1,122
16500,27,21,5000,111,9,2.68,3.47,6,130,4,1,2548,48.8,64.1,168.8,88.6,1,3,1,2,1,2,1,122
16500,26,19,5000,154,9,3.47,2.68,6,152,6,6,2823,52.4,65.5,171.2,94.5,1,3,3,2,1,2,1,122
13950,30,24,5500,102,10,3.4,3.19,6,109,4,4,2337,54.3,66.2,176.6,99.8,1,2,4,4,1,2,2,164
17450,22,18,5500,115,8,3.4,3.19,6,136,5,4,2824,54.3,66.4,176.6,99.4,1,1,4,4,1,2,2,164
15250,25,19,5500,110,8.5,3.4,3.19,6,136,5,4,2507,53.1,66.3,177.3,99.8,1,2,4,2,1,2,2,122
17710,25,19,5500,110,8.5,3.4,3.19,6,136,5,4,2844,55.7,71.4,192.7,105.8,1,2,4,4,1,2,2,158
18920,25,19,5500,110,8.5,3.4,3.19,6,136,5,4,2954,55.7,71.4,192.7,105.8,1,2,5,4,1,2,2,122
23875,20,17,5500,140,8.3,3.4,3.13,6,131,5,4,3086,55.9,71.4,192.7,105.8,1,2,4,4,2,2,2,158
13207.1293532338,22,16,5500,160,7,3.4,3.13,6,131,5,4,3053,52,67.9,178.2,99.5,1,1,3,2,2,2,2,122
16430,29,23,5800,101,8.8,2.8,3.5,6,108,4,4,2395,54.3,64.8,176.8,101.2,1,3,4,2,1,2,3,192
16925,29,23,5800,101,8.8,2.8,3.5,6,108,4,4,2395,54.3,64.8,176.8,101.2,1,3,4,4,1,2,3,192
20970,28,21,4250,121,9,3.19,3.31,6,164,6,4,2710,54.3,64.8,176.8,101.2,1,3,4,2,1,2,3,188
21105,28,21,4250,121,9,3.19,3.31,6,164,6,4,2765,54.3,64.8,176.8,101.2,1,3,4,4,1,2,3,188
24565,25,20,4250,121,9,3.19,3.31,6,164,6,4,3055,55.7,66.9,189,103.5,1,3,4,4,1,2,3,122
30760,22,16,5400,182,8,3.39,3.62,6,209,6,4,3230,55.7,66.9,189,103.5,1,3,4,4,1,2,3,122
41315,22,16,5400,182,8,3.39,3.62,6,209,6,4,3380,53.7,67.9,193.8,103.5,1,3,4,2,1,2,3,122
36880,20,15,5400,182,8,3.39,3.62,6,209,6,4,3505,56.3,70.9,197,110,1,3,4,4,1,2,3,122
5151,53,47,5100,48,9.5,3.03,2.91,2,61,3,3,1488,53.2,60.3,141.1,88.4,1,2,3,2,1,2,4,121
6295,43,38,5400,70,9.6,3.11,3.03,2,90,4,4,1874,52,63.6,155.9,94.5,1,2,3,2,1,2,4,98
6575,43,38,5400,70,9.6,3.11,3.03,2,90,4,4,1909,52,63.6,158.8,94.5,1,2,4,4,1,2,4,81
5572,41,37,5500,68,9.41,3.23,2.97,2,90,4,4,1876,50.8,63.8,157.3,93.7,1,2,3,2,1,2,5,118
6377,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1876,50.8,63.8,157.3,93.7,1,2,3,2,1,2,5,118
7957,30,24,5500,102,7.6,3.39,3.03,6,98,4,4,2128,50.8,63.8,157.3,93.7,1,2,3,2,2,2,5,118
6229,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1967,50.6,63.8,157.3,93.7,1,2,3,4,1,2,5,148
6692,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1989,50.6,63.8,157.3,93.7,1,2,4,4,1,2,5,148
7609,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1989,50.6,63.8,157.3,93.7,1,2,4,4,1,2,5,148
8558,30,24,5500,102,7.6,3.39,3.03,6,98,4,4,2191,50.6,63.8,157.3,93.7,1,2,4,3.12315270935961,2,2,5,148
8921,30,24,5000,88,8.5,3.46,3.34,2,122,4,4,2535,59.8,64.6,174.6,103.3,1,2,5,4,1,2,5,110
12964,24,19,5000,145,7,3.9,3.6,5,156,4,4,2811,50.2,66.3,173.2,95.9,1,2,3,2,2,2,5,145
6479,54,49,4800,58,9.6,3.41,2.91,1,92,4,4,1713,50.8,63.9,144.6,86.6,1,2,3,2,1,2,6,137
6855,38,31,6000,76,9.2,3.41,2.91,1,92,4,4,1819,50.8,63.9,144.6,86.6,1,2,3,2,1,2,6,137
5399,42,38,5500,60,10.1,3.07,2.91,1,79,4,4,1837,52.6,64,150,93.7,1,2,3,2,1,2,6,101
6529,34,30,6000,76,9.2,3.41,2.91,1,92,4,4,1940,52.6,64,150,93.7,1,2,3,2,1,2,6,101
7129,34,30,6000,76,9.2,3.41,2.91,1,92,4,4,1956,52.6,64,150,93.7,1,2,3,2,1,2,6,101
7295,34,30,6000,76,9.2,3.41,2.91,1,92,4,4,2010,54.5,64,163.4,96.5,1,2,4,4,1,2,6,110
7295,34,30,6000,76,9.2,3.41,2.92,1,92,4,4,2024,58.3,63.9,157.1,96.5,1,2,5,4,1,2,6,78
7895,33,27,5800,86,9,3.58,3.15,1,110,4,4,2236,53.3,65.2,167.5,96.5,1,2,3,2,1,2,6,106
9095,33,27,5800,86,9,3.58,3.15,1,110,4,4,2289,53.3,65.2,167.5,96.5,1,2,3,2,1,2,6,106
8845,33,27,5800,86,9,3.58,3.15,1,110,4,4,2304,54.1,65.2,175.4,96.5,1,2,4,4,1,2,6,85
10295,33,27,5800,86,9,3.58,3.15,1,110,4,4,2372,54.1,62.5,175.4,96.5,1,2,4,4,1,2,6,85
12945,28,24,5800,101,9,3.58,3.15,6,110,4,4,2465,54.1,65.2,175.4,96.5,1,2,4,4,1,2,6,85
10345,31,25,5500,100,9.1,3.58,3.15,2,110,4,4,2293,51,66,169.1,96.5,1,2,4,2,1,2,6,107
6785,29,24,4800,78,8.5,3.23,3.31,2,111,4,4,2337,53.5,61.8,170.7,94.3,1,3,4,4,1,2,7,122
13207.1293532338,43,38,5400,70,9.6,3.11,3.03,2,90,4,4,1874,52,63.6,155.9,94.5,1,2,4,2,1,2,7,122
13207.1293532338,43,38,5400,70,9.6,3.11,3.03,2,90,4,4,1909,52,63.6,155.9,94.5,1,2,4,4,1,2,7,122
11048,29,24,5000,90,9.2,3.23,3.43,8,119,4,4,2734,51.4,65.2,172.6,96,1,3,3,2,1,2,7,122
32250,19,15,4750,176,8.1,4.17,3.63,6,258,6,1,4066,52.8,69.6,199.6,113,1,3,4,4,1,2,8,145
35550,19,15,4750,176,8.1,4.17,3.63,6,258,6,1,4066,52.8,69.6,199.6,113,1,3,4,4,1,2,8,122
36000,17,13,5000,262,11.5,2.76,3.54,6,326,12,6,3950,47.8,70.6,191.7,102,1,3,4,2,1,2,8,122
5195,31,30,5000,68,9,3.15,3.03,2,91,4,4,1890,54.1,64.2,159.1,93.1,1,2,3,2,1,2,9,104
6095,38,31,5000,68,9,3.15,3.03,2,91,4,4,1900,54.1,64.2,159.1,93.1,1,2,3,2,1,2,9,104
6795,38,31,5000,68,9,3.15,3.03,2,91,4,4,1905,54.1,64.2,159.1,93.1,1,2,3,2,1,2,9,104
6695,38,31,5000,68,9,3.15,3.03,2,91,4,4,1945,54.1,64.2,166.8,93.1,1,2,4,4,1,2,9,113
7395,38,31,5000,68,9,3.15,3.08,2,91,4,4,1950,54.1,64.2,166.8,93.1,1,2,4,4,1,2,9,113
10945,23,17,6000,101,9.4,3.25542288557213,3.3297512437811,3,70,2,7,2380,49.6,65.7,169,95.3,1,3,3,2,1,2,9,150
11845,23,17,6000,101,9.4,3.25542288557213,3.3297512437811,3,70,2,7,2380,49.6,65.7,169,95.3,1,3,3,2,1,2,9,150
13645,23,17,6000,101,9.4,3.25542288557213,3.3297512437811,3,70,2,7,2385,49.6,65.7,169,95.3,1,3,3,2,1,2,9,150
15645,23,16,6000,135,9.4,3.25542288557213,3.3297512437811,6,80,2,7,2500,49.6,65.7,169,95.3,1,3,3,2,1,2,9,150
8845,32,26,4800,84,8.6,3.39,3.39,2,122,4,4,2385,53.7,66.5,177.8,98.8,1,2,3,2,1,2,9,129
8495,32,26,4800,84,8.6,3.39,3.39,2,122,4,4,2410,55.5,66.5,177.8,98.8,1,2,4,4,1,2,9,115
10595,32,26,4800,84,8.6,3.39,3.39,2,122,4,4,2385,53.7,66.5,177.8,98.8,1,2,3,2,1,2,9,129
10245,32,26,4800,84,8.6,3.39,3.39,2,122,4,4,2410,55.5,66.5,177.8,98.8,1,2,4,4,1,2,9,115
10795,42,36,4650,64,22.7,3.39,3.39,4,122,4,4,2443,55.5,66.5,177.8,98.8,1,2,4,3.12315270935961,1,1,9,122
11245,32,26,4800,84,8.6,3.39,3.39,2,122,4,4,2425,55.5,66.5,177.8,98.8,1,2,3,4,1,2,9,115
18280,27,19,5000,120,8,3.16,3.76,6,140,4,4,2670,54.4,66.1,175,104.9,1,3,4,4,1,2,9,118
18344,39,31,4200,72,22,3.64,3.43,4,134,4,4,2700,54.4,66.1,175,104.9,1,3,4,4,1,1,9,122
25552,25,22,4350,123,21.5,3.64,3.58,4,183,5,4,3515,56.5,70.3,190.9,110,1,3,4,4,2,1,10,93
28248,25,22,4350,123,21.5,3.64,3.58,4,183,5,4,3750,58.7,70.3,190.9,110,1,3,5,4,2,1,10,93
28176,25,22,4350,123,21.5,3.64,3.58,4,183,5,4,3495,54.9,70.3,187.5,106.7,1,3,2,2,2,1,10,93
31600,25,22,4350,123,21.5,3.64,3.58,4,183,5,4,3770,56.3,71.7,202.6,115.6,1,3,4,4,2,1,10,93
34184,18,16,4750,155,8.3,3.1,3.46,6,234,8,6,3740,56.5,71.7,202.6,115.6,1,3,4,4,1,2,10,122
35056,18,16,4750,155,8.3,3.1,3.46,6,234,8,6,3685,50.8,70.5,180.3,96.6,1,3,1,2,1,2,10,142
40960,16,14,4500,184,8,3.35,3.8,6,308,8,6,3900,56.7,71.7,208.1,120.9,1,3,4,4,1,2,10,122
45400,16,14,4500,184,8,3.35,3.8,6,304,8,6,3715,55.4,72,199.2,112,1,3,2,2,1,2,10,122
16503,24,19,5000,175,8,3.12,3.78,6,140,4,4,2910,54.8,68,178.4,102.7,1,3,3,2,2,2,11,122
5389,41,37,5500,68,9.4,3.23,2.97,2,92,4,4,1918,50.8,64.4,157.3,93.7,1,2,3,2,1,2,12,161
6189,38,31,5500,68,9.4,3.23,2.97,2,92,4,4,1944,50.8,64.4,157.3,93.7,1,2,3,2,1,2,12,161
6669,38,31,5500,68,9.4,3.23,2.97,2,92,4,4,2004,50.8,64.4,157.3,93.7,1,2,3,2,1,2,12,161
7689,30,24,5500,102,7.6,3.39,3.03,7,98,4,4,2145,50.8,63.8,157.3,93,1,2,3,2,2,2,12,161
9959,30,23,5500,116,7.5,3.46,3.17,7,110,4,4,2370,49.4,65.4,173,96.3,1,2,3,2,2,2,12,153
8499,32,25,5000,88,8.5,3.46,3.35,2,122,4,4,2328,49.4,65.4,173,96.3,1,2,3,2,1,2,12,153
12629,24,19,5000,145,7,3.86,3.58,7,156,4,4,2833,50.2,66.3,173.2,95.9,1,2,3,2,2,2,12,122
14869,24,19,5000,145,7,3.86,3.59,7,156,4,4,2921,50.2,66.3,173.2,95.9,1,2,3,2,2,2,12,122
14489,24,19,5000,145,7,3.86,3.59,7,156,4,4,2926,50.2,66.3,173.2,95.9,1,2,3,2,2,2,12,122
6989,32,25,5000,88,8.5,3.46,3.35,2,122,4,4,2365,51.6,65.4,172.4,96.3,1,2,4,4,1,2,12,125
8189,32,25,5000,88,8.5,3.46,3.35,2,122,4,4,2405,51.6,65.4,172.4,96.3,1,2,4,4,1,2,12,125
9279,30,23,5500,116,7.5,3.46,3.17,7,110,4,4,2403,51.6,65.4,172.4,96.3,1,2,4,4,2,2,12,125
9279,30,23,5500,116,7.5,3.46,3.17,7,110,4,4,2403,51.6,65.4,172.4,96.3,1,2,4,4,1,2,12,137
5499,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,1889,54.5,63.8,165.3,94.5,1,2,4,2,1,2,13,128
7099,50,45,4800,55,21.9,3.47,2.99,4,103,4,4,2017,54.5,63.8,165.3,94.5,1,2,4,2,1,1,13,128
6649,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,1918,54.5,63.8,165.3,94.5,1,2,4,2,1,2,13,128
6849,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,1938,54.5,63.8,165.3,94.5,1,2,4,4,1,2,13,122
7349,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,2024,53.5,63.8,170.2,94.5,1,2,5,4,1,2,13,103
7299,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,1951,54.5,63.8,165.3,94.5,1,2,4,2,1,2,13,128
7799,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,2028,53.3,63.8,165.6,94.5,1,2,3,2,1,2,13,128
7499,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,1971,54.5,63.8,165.3,94.5,1,2,4,4,1,2,13,122
7999,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,2037,53.5,63.8,170.2,94.5,1,2,5,4,1,2,13,103
8249,37,31,5200,69,9.4,3.29,3.15,2,97,4,4,2008,53.3,63.8,162.4,95.1,1,2,2,2,1,2,13,168
8949,34,27,5200,97,8.5,3.47,3.33,2,120,4,4,2324,54.7,65.2,173.4,97.2,1,2,3,4,1,2,13,106
9549,34,27,5200,97,8.5,3.47,3.33,2,120,4,4,2302,54.7,65.2,173.4,97.2,1,2,4,4,1,2,13,106
13499,22,17,5200,152,9,3.27,3.43,6,181,6,6,3095,55.1,66.5,181.7,100.4,1,2,4,4,1,2,13,128
14399,22,17,5200,152,9,3.27,3.43,6,181,6,6,3296,56.1,66.5,184.6,100.4,1,2,5,4,1,2,13,108
13499,25,19,5200,152,9,3.27,3.43,6,181,6,6,3060,55.1,66.5,184.6,100.4,1,2,4,4,1,2,13,108
17199,25,19,5200,160,9,3.27,3.43,6,181,6,6,3071,49.7,67.9,170.7,91.3,1,3,3,2,1,2,13,194
19699,23,17,5200,200,7.8,3.27,3.43,6,181,6,6,3139,49.7,67.9,170.7,91.3,1,3,3,2,2,2,13,194
18399,25,19,5200,160,9,3.27,3.43,6,181,6,6,3139,49.7,67.9,178.5,99.2,1,3,3,2,1,2,13,231
11900,24,19,5000,97,8.4,3.19,3.46,6,120,4,3,3020,56.7,68.4,186.7,107.9,1,3,4,4,1,2,14,161
13200,33,28,4150,95,21,3.52,3.7,4,152,4,3,3197,56.7,68.4,186.7,107.9,1,3,4,4,2,1,14,161
12440,24,19,5000,97,8.4,3.19,3.46,6,120,4,3,3230,58.7,68.4,198.9,114.2,1,3,5,4,1,2,14,122
13860,25,25,4150,95,21,3.52,3.7,4,152,4,3,3430,58.7,68.4,198.9,114.2,1,3,5,4,2,1,14,122
15580,24,19,5000,95,8.4,2.19,3.46,6,120,4,3,3075,56.7,68.4,186.7,107.9,1,3,4,4,1,2,14,161
16900,33,28,4150,95,21,3.52,3.7,4,152,4,3,3252,56.7,68.4,186.7,107.9,1,3,4,4,2,1,14,161
16695,24,19,5000,95,8.4,2.19,3.46,6,120,4,3,3285,56.7,68.4,198.9,114.2,1,3,5,4,1,2,14,122
17075,25,25,4150,95,21,3.52,3.7,4,152,4,3,3485,58.7,68.4,198.9,114.2,1,3,5,4,2,1,14,122
16630,24,19,5000,97,8.4,3.19,3.46,6,120,4,3,3075,56.7,68.4,186.7,107.9,1,3,4,4,1,2,14,161
17950,33,28,4150,95,21,3.52,3.7,4,152,4,3,3252,56.7,68.4,186.7,107.9,1,3,4,4,2,1,14,161
18150,24,18,5600,142,7,3.21,3.61,6,134,4,3,3130,56,68.3,186.7,108,1,3,4,4,2,2,14,161
5572,41,37,5500,68,9.4,3.23,2.97,2,90,4,4,1918,50.8,63.8,157.3,93.7,1,2,3,2,1,2,15,119
7957,30,24,5500,102,7.6,3.39,3.03,7,98,4,4,2128,50.8,63.8,157.3,93.7,1,2,3,2,2,2,15,119
6229,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1967,50.6,63.8,157.3,93.7,1,2,3,4,1,2,15,154
6692,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1989,50.8,63.8,167.3,93.7,1,2,4,4,1,2,15,154
7609,38,31,5500,68,9.4,3.23,2.97,2,98,4,4,2191,50.8,63.8,167.3,93.7,1,2,4,4,1,2,15,154
8921,30,24,5000,88,8.5,3.46,3.35,2,122,4,4,2535,59.8,64.6,174.6,103.3,1,2,5,4,1,2,15,74
12764,24,19,5000,145,7,3.86,3.59,7,156,4,4,2818,50.2,66.3,173.2,95.9,1,3,3,2,2,2,15,122
22018,27,19,5500,143,9.5,3.11,3.94,6,151,4,4,2778,50.2,68.3,168.9,94.5,1,3,3,2,1,2,16,186
32528,25,17,5900,207,9.5,2.9,3.74,6,194,6,5,2756,51.6,65,168.9,89.5,2,3,2,2,1,2,16,122
34028,25,17,5900,207,9.5,2.9,3.74,6,194,6,5,2756,51.6,65,168.9,89.5,2,3,2,2,1,2,16,122
37028,25,17,5900,207,9.5,2.9,3.74,6,194,6,5,2800,51.6,65,168.9,89.5,2,3,1,2,1,2,16,122
13207.1293532338,28,17,5750,288,10,3.11,3.94,6,203,8,2,3366,50.5,72.3,175.7,98.4,1,3,3,2,1,2,16,122
9295,31,23,5125.36945812808,104.256157635468,8.7,3.9,3.46,6,132,4,4,2579,55.2,66.5,181.5,96.1,1,2,5,4,1,2,17,122
9895,31,23,5125.36945812808,104.256157635468,8.7,3.9,3.46,6,132,4,4,2460,50.5,66.6,176.8,96.1,1,2,3,2,1,2,17,122
11850,28,21,5250,110,9.31,3.07,3.54,6,121,4,4,2658,56.1,66.5,186.6,99.1,1,2,3,2,1,2,18,150
12170,28,21,5250,110,9.3,3.07,3.54,6,121,4,4,2695,56.1,66.5,186.6,99.1,1,2,4,4,1,2,18,104
15040,28,21,5250,110,9.3,2.07,2.54,6,121,4,4,2707,56.1,66.5,186.6,99.1,1,2,3,2,1,2,18,150
15510,28,21,5250,110,9.3,3.07,3.54,6,121,4,4,2758,56.1,66.5,186.6,99.1,1,2,4,4,1,2,18,104
18150,26,19,5500,160,9,3.07,3.54,6,121,4,1,2808,56.1,66.5,186.6,99.1,1,2,3,2,2,2,18,150
18620,26,19,5500,160,9,3.07,3.54,6,121,4,1,2847,56.1,66.5,186.6,99.1,1,2,4,4,2,2,18,104
5118,36,31,4900,69,9,2.36,3.62,2,97,4,5,2050,53.7,63.4,156.9,93.7,1,2,3,2,1,2,19,83
7053,31,26,4400,73,8.7,2.64,3.62,2,108,4,5,2120,53.7,63.6,157.9,93.7,1,2,3,2,1,2,19,83
7603,31,26,4400,73,8.7,2.64,3.62,2,108,4,5,2240,55.7,63.8,157.3,93.3,1,1,3,2,1,2,19,83
7126,37,32,4800,82,9.5,2.64,3.62,2,108,4,5,2145,52.5,65.4,172,97.2,1,2,4,4,1,2,19,102
7775,33,28,4400,82,9.5,2.64,3.62,2,108,4,5,2190,52.5,65.4,172,97.2,1,2,4,4,1,2,19,102
9960,32,26,5200,94,9,2.64,3.62,6,108,4,5,2340,52.5,65.4,172,97.2,1,2,4,4,1,2,19,102
9233,25,24,4800,82,9,2.64,3.62,2,108,4,5,2385,54.3,65.4,172,97,1,1,4,4,1,2,19,102
11259,29,24,4800,111,7.7,2.64,3.62,6,108,4,5,2510,54.3,65.4,172,97,1,1,4,4,2,2,19,102
7463,32,28,4800,82,9,2.64,3.62,2,108,4,5,2290,53,65.4,173.5,97,1,2,5,4,1,2,19,89
10198,31,25,5200,94,9,2.64,3.62,6,108,4,5,2455,53,65.4,173.5,97,1,2,5,4,1,2,19,89
8013,29,23,4800,82,9,2.64,3.62,2,108,4,5,2420,54.9,65.4,173.6,96.9,1,1,5,4,1,2,19,85
11694,23,23,4800,111,7.7,2.64,3.62,6,108,4,5,2650,54.9,65.4,173.6,96.9,1,1,5,4,2,2,19,85
5348,39,35,4800,62,9,3.03,3.05,2,92,4,4,1985,54.5,63.6,158.7,95.7,1,2,3,2,1,2,20,87
6338,38,31,4800,62,9,3.03,3.05,2,92,4,4,2040,54.5,63.6,158.7,95.7,1,2,3,2,1,2,20,87
6488,38,31,4800,62,9,3.03,3.05,2,92,4,4,2015,54.5,63.6,158.7,95.7,1,2,3,4,1,2,20,74
6918,37,31,4800,62,9,3.03,3.05,2,92,4,4,2280,59.1,63.6,169.7,95.7,1,2,5,4,1,2,20,77
7898,32,27,4800,62,9,3.03,3.05,2,92,4,4,2290,59.1,63.6,169.7,95.7,1,1,5,4,1,2,20,81
8778,32,27,4800,62,9,3.03,3.05,2,92,4,4,3110,59.1,63.6,169.7,95.7,1,1,5,4,1,2,20,91
6938,37,30,4800,70,9,3.03,3.19,2,98,4,4,2081,53,64.4,166.3,95.7,1,2,4,4,1,2,20,91
7198,37,30,4800,70,9,3.03,3.19,2,98,4,4,2109,52.8,64.4,166.3,95.7,1,2,3,4,1,2,20,91
7898,36,34,4500,56,22.5,3.35,3.27,4,110,4,4,2275,53,64.4,166.3,95.7,1,2,4,4,1,1,20,91
7788,47,38,4500,56,22.5,3.35,3.27,4,110,4,4,2275,52.8,64.4,166.3,95.7,1,2,3,4,1,1,20,91
7738,47,38,4800,70,9,3.03,3.19,2,98,4,4,2094,53,64.4,166.3,95.7,1,2,4,4,1,2,20,91
8358,34,28,4800,70,9,3.03,3.19,2,98,4,4,2122,52.8,64.4,166.3,95.7,1,2,3,4,1,2,20,91
9258,34,28,4800,70,9,3.03,3.19,2,98,4,4,2140,52.8,64.4,166.3,95.7,1,2,4,4,1,2,20,91
8058,34,29,4800,70,9,3.03,3.19,2,98,4,4,2169,52.6,64,168.7,94.5,1,3,4,2,1,2,20,168
8238,34,29,4800,70,9,3.03,3.19,2,98,4,4,2204,52.6,64,168.7,94.5,1,3,3,2,1,2,20,168
9298,29,26,6600,112,9.4,3.08,3.24,6,98,4,1,2265,52.6,64,168.7,94.5,1,3,4,2,1,2,20,168
9538,29,26,6600,112,9.4,3.08,3.24,6,98,4,1,2300,52.6,64,168.7,94.5,1,3,3,2,1,2,20,168
8449,30,24,4800,116,9.3,3.5,3.62,6,146,4,4,2540,52,65.6,176.2,98.4,1,3,2,2,1,2,20,134
9639,30,24,4800,116,9.3,3.5,3.62,6,146,4,4,2536,52,65.6,176.2,98.4,1,3,2,2,1,2,20,134
9989,30,24,4800,116,9.3,3.5,3.62,6,146,4,4,2551,52,65.6,176.2,98.4,1,3,3,2,1,2,20,134
11199,30,24,4800,116,9.3,3.5,3.62,6,146,4,4,2679,52,65.6,176.2,98.4,1,3,2,2,1,2,20,134
11549,30,24,4800,116,9.3,3.5,3.62,6,146,4,4,2714,52,65.6,176.2,98.4,1,3,3,2,1,2,20,134
17669,30,24,4800,116,9.3,3.5,3.62,6,146,4,4,2975,53,65.6,176.2,98.4,1,3,1,2,1,2,20,134
8948,34,29,4200,92,8.7,3.54,3.31,6,122,4,4,2326,54.9,66.5,175.6,102.4,1,2,4,4,1,2,20,65
10698,33,30,4500,73,22.5,3.35,3.27,4,110,4,4,2480,54.9,66.5,175.6,102.4,1,2,4,4,2,1,20,65
9988,32,27,4200,92,8.7,3.54,3.31,6,122,4,4,2414,53.9,66.5,175.6,102.4,1,2,3,4,1,2,20,65
10898,32,27,4200,92,8.7,3.54,3.31,6,122,4,4,2414,54.9,66.5,175.6,102.4,1,2,4,4,1,2,20,65
11248,32,27,4200,92,8.7,3.54,3.31,6,122,4,4,2458,53.9,66.5,175.6,102.4,1,2,3,4,1,2,20,65
16558,24,20,5200,161,9.3,3.35,3.27,6,171,6,1,2976,52,67.7,183.5,102.9,1,3,3,2,1,2,20,197
15998,24,19,5200,161,9.3,3.35,3.27,6,171,6,1,3016,52,67.7,183.5,102.9,1,3,3,2,1,2,20,197
15690,24,20,5200,156,9.2,3.35,3.27,6,171,6,1,3131,54.1,66.5,187.8,104.5,1,3,4,4,1,2,20,90
15750,24,19,5200,156,9.2,3.35,3.27,6,161,6,1,3151,54.1,66.5,187.8,104.5,1,3,5,4,1,2,20,122
7775,46,37,4800,52,23,3.4,3.01,4,97,4,4,2261,55.7,65.5,171.7,97.3,1,2,4,2,1,1,21,122
7975,34,27,5250,85,9,3.4,3.19,6,109,4,4,2209,55.7,65.5,171.7,97.3,1,2,4,2,1,2,21,122
7995,46,37,4800,52,23,3.4,3.01,4,97,4,4,2264,55.7,65.5,171.7,97.3,1,2,4,4,1,1,21,94
8195,34,27,5250,85,9,3.4,3.19,6,109,4,4,2212,55.7,65.5,171.7,97.3,1,2,4,4,1,2,21,94
8495,34,27,5250,85,9,3.4,3.19,6,109,4,4,2275,55.7,65.5,171.7,97.3,1,2,4,4,1,2,21,94
9495,42,37,4500,68,23,3.4,3.01,4,97,4,4,2319,55.7,65.5,171.7,97.3,1,2,4,4,2,1,21,94
9995,32,26,5500,100,10,3.4,3.19,6,109,4,4,2300,55.7,65.5,171.7,97.3,1,2,4,4,1,2,21,94
11595,29,24,5500,90,8.5,3.4,3.19,6,109,4,4,2254,55.6,64.2,159.3,94.5,1,2,1,2,1,2,21,122
9980,29,24,5500,90,8.5,3.4,3.19,6,109,4,4,2221,51.4,64,165.7,94.5,1,2,3,2,1,2,21,256
13295,24,19,5500,110,8.5,3.4,3.19,6,136,5,4,2661,55.1,66.9,180.2,100.4,1,2,4,4,1,2,21,122
13845,38,33,4500,68,23,3.4,3.01,4,97,4,4,2579,55.1,66.9,180.2,100.4,1,2,4,4,2,1,21,122
12290,31,25,5500,88,9,3.4,3.19,6,109,4,4,2563,55.1,66.9,183.1,100.4,1,2,5,4,1,2,21,122
12940,28,23,5400,114,9.5,3.15,3.78,6,141,4,4,2912,56.2,67.2,188.8,104.3,1,3,4,4,1,2,22,103
13415,28,23,5400,114,9.5,3.15,3.78,6,141,4,4,3034,57.5,67.2,188.8,104.3,1,3,5,4,1,2,22,74
15985,28,24,5400,114,9.5,3.15,3.78,6,141,4,4,2935,56.2,67.2,188.8,104.3,1,3,4,4,1,2,22,103
16515,28,24,5400,114,9.5,3.15,3.78,6,141,4,4,3042,57.5,67.2,188.8,104.3,1,3,5,4,1,2,22,74
18420,22,17,5100,162,7.5,3.15,3.62,6,130,4,4,3045,56.2,67.2,188.8,104.3,1,3,4,4,2,2,22,103
18950,22,17,5100,162,7.5,3.15,3.62,6,130,4,4,3157,57.5,67.2,188.8,104.3,1,3,5,4,2,2,22,74
16845,28,23,5400,114,9.5,3.15,3.78,6,141,4,4,2952,55.5,68.9,188.8,109.1,1,3,4,4,1,2,22,95
19045,25,19,5300,160,8.7,3.15,3.78,6,141,4,4,3049,55.5,68.8,188.8,109.1,1,3,4,4,2,2,22,95
21485,23,18,5500,134,8.8,2.87,3.58,6,173,6,6,3012,55.5,68.9,188.8,109.1,1,3,4,4,1,2,22,95
22470,27,26,4800,106,23,3.4,3.01,4,145,6,4,3217,55.5,68.9,188.8,109.1,1,3,4,4,2,1,22,95
22625,25,19,5400,114,9.5,3.15,3.78,6,141,4,4,3062,55.5,68.9,188.8,109.1,1,3,4,4,2,2,22,95
